ppg,trb,ast,fgp,per,ws,position,shooting_hand,draft,high_school,hof,url,hs_city,hs_state,hs_name,trad_position
3.6,4.1,0.5,50.6,9.0,9.3,Center,Right,"Dallas Mavericks, 2nd round (16th pick, 40th overall), 1985 NBA Draft","Palos Verdes  in  Palos Verdes Estates,        California",0,/players/a/acresma01.html,Palos Verdes Estates,California,Palos Verdes ,Center
3.3,2.0,0.5,39.2,9.5,0.1,Small Forward,Right,,"Troy  in  Troy,        Michigan",0,/players/a/actonbu01.html,Troy,Michigan,Troy ,Forward
4.9,3.5,0.6,44.4,11.2,8.7,Power Forward,Right,"Toronto Raptors, 2nd round (7th pick, 37th overall), 2012 NBA Draft","Mesquite Horn  in  Mesquite,        Texas",0,/players/a/acyqu01.html,Mesquite,Texas,Mesquite Horn ,Forward
14.1,7.0,4.1,49.8,18.3,73.5,Center,Right,"Phoenix Suns, 1st round (4th pick, 4th overall), 1975 NBA Draft","Putnam City  in  Warr Acres,        Oklahoma",0,/players/a/adamsal01.html,Warr Acres,Oklahoma,Putnam City ,Center
8.8,5.6,1.9,40.2,10.7,11.7,Small Forward,Right,"San Diego Rockets, 8th round (1st pick, 120th overall), 1970 NBA Draft","South Fulton  in  South Fulton,        Georgia",0,/players/a/adamsdo01.html,South Fulton,Georgia,South Fulton ,Forward
7.7,4.1,1.5,49.7,14.0,6.6,Small Forward,Right,"Milwaukee Bucks, 3rd round (16th pick, 46th overall), 1972 NBA Draft",,0,/players/a/adamsge01.html,,,,Forward
2.5,1.2,0.2,53.4,11.8,0.8,Shooting Guard,Right,"New Jersey Nets, 2nd round (24th pick, 54th overall), 2006 NBA Draft","Westchester  in  Los Angeles,        California",0,/players/a/adamsha01.html,Los Angeles,California,Westchester ,Guard
3.2,1.8,1.9,34.5,7.6,0.1,Point Guard,Right,,"Mount St. Joseph  in  Baltimore,        Maryland",0,/players/a/adamsja01.html,Baltimore,Maryland,Mount St. Joseph ,Guard
3.2,0.9,0.6,40.2,13.1,0.4,Shooting Guard,Right,"Memphis Grizzlies, 1st round (22nd pick, 22nd overall), 2014 NBA Draft","Oak Hill Academy  in  Mouth of Wilson,        Virginia",0,/players/a/adamsjo01.html,Mouth of Wilson,Virginia,Oak Hill Academy ,Guard
14.7,2.9,6.4,41.5,16.6,46.9,Point Guard,Right,"Sacramento Kings, 3rd round (19th pick, 66th overall), 1985 NBA Draft","Hartford Public  in  Hartford,        Connecticut",0,/players/a/adamsmi01.html,Hartford,Connecticut,Hartford Public ,Guard
9.7,7.4,1.0,58.8,16.7,38.7,Center,Right,"Oklahoma City Thunder, 1st round (12th pick, 12th overall), 2013 NBA Draft","Notre Dame Preparatory School  in  Fitchburg,        Massachusetts",0,/players/a/adamsst01.html,Fitchburg,Massachusetts,Notre Dame Preparatory School ,Center
5.8,2.1,0.9,44.9,10.5,4.9,Small Forward,Right,"Phoenix Suns, 2nd round (15th pick, 39th overall), 1986 NBA Draft","Snyder  in  Jersey City,        New Jersey",0,/players/a/addisra01.html,Jersey City,New Jersey,Snyder ,Forward
8.0,6.5,1.9,55.0,17.0,11.0,Center,Right,"Miami Heat, 1st round (14th pick, 14th overall), 2017 NBA Draft","High Point Christian Academy  in  High Point,        North Carolina",0,/players/a/adebaba01.html,High Point,North Carolina,High Point Christian Academy ,Center
1.7,1.0,0.3,30.6,2.7,-0.2,Small Forward,Right,,"Victoria Rock Prep HS  in  Bradenton,        Florida",0,/players/a/adelde01.html,Bradenton,Florida,Victoria Rock Prep HS ,Forward
7.7,2.4,3.5,41.5,11.3,10.0,Point Guard,Right,"San Diego Rockets, 7th round (1st pick, 79th overall), 1968 NBA Draft","Saint Pius X  in  Downey,        California",0,/players/a/adelmri01.html,Downey,California,Saint Pius X ,Guard
4.6,4.3,0.7,47.4,15.0,4.4,Power Forward,Right,,"Brewster Academy  in  Wolfeboro,        New Hampshire",0,/players/a/adrieje01.html,Wolfeboro,New Hampshire,Brewster Academy ,Forward
10.8,2.9,1.8,45.0,11.9,33.5,Small Forward,Right,"Detroit Pistons, 1st round (27th pick, 27th overall), 2007 NBA Draft","Centennial  in  Compton,        California",0,/players/a/afflaar01.html,Compton,California,Centennial ,Forward
2.1,0.6,0.2,33.9,2.8,-0.9,Shooting Guard,Right,"Dallas Mavericks, 1st round (28th pick, 28th overall), 2006 NBA Draft","Crocket  in  Detroit,        Michigan",0,/players/a/agerma01.html,Detroit,Michigan,Crocket ,Guard
20.0,5.0,3.1,48.4,19.0,67.8,Small Forward,Right,"Dallas Mavericks, 1st round (1st pick, 1st overall), 1981 NBA Draft","George Westinghouse  in  Chicago,        Illinois",0,/players/a/aguirma01.html,Chicago,Illinois,George Westinghouse ,Forward
4.6,1.2,1.2,27.3,7.2,-0.2,Point Guard,Right,,"De Smet Jesuit  in  Creve Coeur,        Missouri",0,/players/a/ahearbl01.html,Creve Coeur,Missouri,De Smet Jesuit ,Guard
11.5,2.7,4.0,46.9,14.7,71.5,Shooting Guard,Right,"Boston Celtics, 2nd round (8th pick, 31st overall), 1981 NBA Draft","Eugene  in  North Eugene,        Oregon",0,/players/a/aingeda01.html,North Eugene,Oregon,Eugene ,Guard
5.6,3.6,0.4,40.5,11.9,0.5,Power Forward,Right,"Detroit Pistons, 13th round (2nd pick, 135th overall), 1967 NBA Draft","Maplewood-Richmond Heights  in  Maplewood,        Missouri",0,/players/a/aitchma01.html,Maplewood,Missouri,Maplewood-Richmond Heights ,Forward
5.3,3.9,0.5,50.3,14.9,7.5,Center,Right,"Charlotte Bobcats, 1st round (20th pick, 20th overall), 2008 NBA Draft",,0,/players/a/ajincal01.html,,,,Center
3.5,2.1,0.5,35.0,7.4,-1.2,Center,Right,"New York Knicks, 2nd round (1st pick, 11th overall), 1966 NBA Draft",,0,/players/a/akinhe01.html,,,,Center
1.7,0.3,0.3,50.0,15.3,0.0,Point Guard,Right,,"Casa Grande  in  Petaluma,        California",0,/players/a/akognjo01.html,Petaluma,California,Casa Grande ,Guard
1.0,0.6,0.9,30.0,8.2,0.0,Shooting Guard,Right,,"West Oaks Academy  in  Orlando,        Florida",0,/players/a/akoonde01.html,Orlando,Florida,West Oaks Academy ,Guard
1.5,2.3,0.2,31.4,10.3,0.0,Center,Right,"Dallas Mavericks, 2nd round (20th pick, 50th overall), 2010 NBA Draft","Montverde Academy  in  Montverde,        Florida",0,/players/a/alabiso01.html,Montverde,Florida,Montverde Academy ,Center
7.5,3.4,1.1,47.5,13.0,8.4,Power Forward,Right,"Denver Nuggets, 1st round (18th pick, 18th overall), 1986 NBA Draft","Brophy College Preparatory  in  Phoenix,        Arizona",0,/players/a/alarima01.html,Phoenix,Arizona,Brophy College Preparatory ,Forward
3.3,4.2,0.3,29.3,6.5,-1.3,Center,Right,"Detroit Pistons, 3rd round (2nd pick, 16th overall), 1959 NBA Draft",,0,/players/a/alcorga01.html,,,,Center
2.3,4.3,0.7,51.3,12.0,1.4,Power Forward,Right,"Los Angeles Clippers, 2nd round (23rd pick, 53rd overall), 2012 NBA Draft",,0,/players/a/aldemfu01.html,,,,Forward
3.1,3.3,0.5,52.7,16.6,9.6,Center,Right,"New Orleans Hornets, 1st round (11th pick, 11th overall), 2010 NBA Draft","Thomas Jefferson  in  Bloomington,        Minnesota",0,/players/a/aldrico01.html,Bloomington,Minnesota,Thomas Jefferson ,Center
19.6,8.4,2.0,49.1,20.9,107.0,Power Forward,Right,"Chicago Bulls, 1st round (2nd pick, 2nd overall), 2006 NBA Draft","Seagoville  in  Seagoville,        Texas",0,/players/a/aldrila01.html,Seagoville,Texas,Seagoville ,Forward
5.1,3.6,0.5,47.8,9.1,0.4,Center,Right,"Chicago Bulls, 4th round (7th pick, 76th overall), 1982 NBA Draft","Wamogo  in  Litchfield,        Connecticut",0,/players/a/aleksch01.html,Litchfield,Connecticut,Wamogo ,Center
1.3,0.8,0.0,50.0,11.6,0.0,Power Forward,Right,,"Curie  in  Chicago,        Illinois",0,/players/a/alexacl01.html,Chicago,Illinois,Curie ,Forward
5.5,1.6,2.7,38.9,12.4,3.0,Point Guard,Right,"San Antonio Spurs, 1st round (29th pick, 29th overall), 1995 NBA Draft","Oak Hill Academy  in  Mouth of Wilson,        Virginia",0,/players/a/alexaco01.html,Mouth of Wilson,Virginia,Oak Hill Academy ,Guard
9.0,2.2,1.2,42.2,11.5,4.1,Point Guard,Right,"Orlando Magic, 1st round (13th pick, 13th overall), 2000 NBA Draft","Jordan  in  Durham,        North Carolina",0,/players/a/alexaco02.html,Durham,North Carolina,Jordan ,Guard
1.7,1.4,0.2,57.1,8.6,0.0,Power Forward,Right,,"William M. Raines  in  Jacksonville,        Florida",0,/players/a/alexaga01.html,Jacksonville,Florida,William M. Raines ,Forward
4.2,1.8,0.7,41.0,9.9,0.5,Small Forward,Right,"Milwaukee Bucks, 1st round (8th pick, 8th overall), 2008 NBA Draft","Hargrave Military Academy  in  Chatham,        Virginia",0,/players/a/alexajo01.html,Chatham,Virginia,Hargrave Military Academy ,Forward
8.9,4.8,0.9,51.8,13.7,8.8,Center,Right,"Golden State Warriors, 1st round (17th pick, 17th overall), 1991 NBA Draft","Denby  in  Detroit,        Michigan",0,/players/a/alexavi01.html,Detroit,Michigan,Denby ,Center
4.4,0.9,1.0,45.9,14.4,3.2,Point Guard,Right,"Dallas Mavericks, 2nd round (3rd pick, 26th overall), 1987 NBA Draft","Chrysler  in  New Castle,        Indiana",0,/players/a/alforst01.html,New Castle,Indiana,Chrysler ,Guard
3.7,2.6,1.3,33.3,8.1,-0.1,Shooting Guard,Right,,"Word of God Academy  in  Raleigh,        North Carolina",0,/players/a/alkinra01.html,Raleigh,North Carolina,Word of God Academy ,Guard
7.9,7.1,0.6,42.9,11.9,0.6,Center,Right,,,0,/players/a/allenbi01.html,,,,Center
1.8,2.1,0.4,32.6,6.8,0.1,Power Forward,Right,"San Francisco Warriors, 6th round (7th pick, 71st overall), 1968 NBA Draft",,0,/players/a/allenbo01.html,,,,Forward
5.6,0.6,0.7,37.6,7.5,0.0,Shooting Guard,Right,"Utah Jazz, 1st round (21st pick, 21st overall), 2018 NBA Draft","Providence School  in  Jacksonville,        Florida",0,/players/a/allengr01.html,Jacksonville,Florida,Providence School ,Guard
9.6,7.0,1.0,59.0,18.1,11.9,Center,Right,"Brooklyn Nets, 1st round (22nd pick, 22nd overall), 2017 NBA Draft","St. Stephen's Episcopal School  in  Austin,        Texas",0,/players/a/allenja01.html,Austin,Texas,St. Stephen's Episcopal School ,Center
2.9,1.1,1.7,35.0,8.5,0.2,Shooting Guard,Right,"Minnesota Timberwolves, 2nd round (20th pick, 49th overall), 1995 NBA Draft","Episcopal Academy  in  Merion Station,        Pennsylvania",0,/players/a/allenje01.html,Merion Station,Pennsylvania,Episcopal Academy ,Guard
5.6,1.7,2.4,43.6,13.4,0.9,Shooting Guard,Right,"Boston Celtics, 2nd round (23rd pick, 53rd overall), 2017 NBA Draft","New Hanover  in  Wilmington,        North Carolina",0,/players/a/allenka01.html,Wilmington,North Carolina,New Hanover ,Guard
4.8,4.8,1.0,47.1,12.5,13.8,Power Forward,Right,"Philadelphia 76ers, 2nd round (20th pick, 50th overall), 2011 NBA Draft","Pennsbury  in  Fairless Hills,        Pennsylvania",0,/players/a/allenla01.html,Fairless Hills,Pennsylvania,Pennsbury ,Forward
13.4,3.1,4.5,46.3,15.5,42.0,Point Guard,Right,"Seattle SuperSonics, 1st round (3rd pick, 3rd overall), 1969 NBA Draft","Wyandotte  in  Kansas City,        Kansas",0,/players/a/allenlu01.html,Kansas City,Kansas,Wyandotte ,Guard
4.9,2.8,0.5,43.9,9.9,6.6,Power Forward,Right,,"Shawnee  in  Medford,        New Jersey",0,/players/a/allenma01.html,Medford,New Jersey,Shawnee ,Forward
3.6,2.1,0.3,44.2,8.3,0.2,Shooting Guard,Right,,"Milton  in  Milton,        Florida",0,/players/a/allenra01.html,Milton,Florida,Milton ,Guard
18.9,4.1,3.4,45.2,18.6,145.1,Shooting Guard,Right,"Minnesota Timberwolves, 1st round (5th pick, 5th overall), 1996 NBA Draft","Hillcrest  in  Dalzell,        South Carolina",1,/players/a/allenra02.html,Dalzell,South Carolina,Hillcrest ,Guard
8.1,3.5,1.3,47.5,14.2,38.7,Small Forward,Right,"Boston Celtics, 1st round (25th pick, 25th overall), 2004 NBA Draft","Crane Technical Preparatory  in  Chicago,        Illinois",0,/players/a/allento01.html,Chicago,Illinois,Crane Technical Preparatory ,Forward
1.9,2.0,0.6,30.8,5.7,0.0,Power Forward,Right,"Baltimore Bullets, 4th round (9th pick, 60th overall), 1971 NBA Draft","Richard Montgomery  in  Rockville,        Maryland",0,/players/a/allenwi01.html,Rockville,Maryland,Richard Montgomery ,Forward
1.9,1.3,0.3,21.8,4.7,-0.6,Small Forward,Right,"Golden State Warriors, 5th round (8th pick, 76th overall), 1971 NBA Draft","McClymonds  in  Oakland,        California",0,/players/a/allisod01.html,Oakland,California,McClymonds ,Forward
1.0,0.3,0.0,25.0,-1.0,0.0,Center,Right,,"East  in  Salt Lake City,        Utah",0,/players/a/allrela01.html,Salt Lake City,Utah,East ,Center
2.7,3.0,1.1,34.3,5.3,-0.3,Power Forward,Right,"Dallas Mavericks, 5th round (11th pick, 103rd overall), 1980 NBA Draft","Lynwood  in  Lynwood,        California",0,/players/a/allumda01.html,Lynwood,California,Lynwood ,Forward
3.1,1.2,0.3,38.1,7.0,0.0,Shooting Guard,Right,"Utah Jazz, 1st round (25th pick, 25th overall), 2007 NBA Draft","McEachern  in  Powder Springs,        Georgia",0,/players/a/almonmo01.html,Powder Springs,Georgia,McEachern ,Guard
5.4,3.8,0.7,48.9,11.7,2.6,Center,Right,"Philadelphia 76ers, 2nd round (6th pick, 33rd overall), 1994 NBA Draft","Hoboken  in  Hoboken,        New Jersey",0,/players/a/alstode01.html,Hoboken,New Jersey,Hoboken ,Center
10.1,2.8,4.8,38.3,13.2,32.9,Point Guard,Right,"Milwaukee Bucks, 2nd round (10th pick, 39th overall), 1998 NBA Draft","Benjamin Cardozo  in  Bayside,        New York",0,/players/a/alstora01.html,Bayside,New York,Benjamin Cardozo ,Guard
1.0,1.0,0.0,50.0,3.1,0.0,Center,Right,,"Okota Grammar School  in  Isolo,      Nigeria  ",0,/players/a/alumape01.html,Isolo,Nigeria,Okota Grammar School ,Center
6.2,2.6,0.8,40.3,8.9,0.5,Power Forward,Right,,"Saint John's  in  Toledo,        Ohio",0,/players/a/amaecjo01.html,Toledo,Ohio,Saint John's ,Forward
4.5,4.2,0.4,45.5,11.5,1.9,Power Forward,Right,,"Walther Lutheran  in  Melrose Park,        Illinois",0,/players/a/amayaas01.html,Melrose Park,Illinois,Walther Lutheran ,Forward
7.7,6.1,1.2,42.3,12.4,27.4,Power Forward,Right,"Los Angeles Clippers, 1st round (8th pick, 8th overall), 2010 NBA Draft","Norcross  in  Norcross,        Georgia",0,/players/a/aminual01.html,Norcross,Georgia,Norcross ,Forward
3.7,3.6,0.4,47.4,12.0,6.9,Power Forward,Right,,"Monarch  in  Louisville,        Colorado",0,/players/a/amundlo01.html,Louisville,Colorado,Monarch ,Forward
4.0,2.1,0.9,38.5,9.3,0.0,Small Forward,Right,"New York Knicks, 3rd round (6th pick, 20th overall), 1959 NBA Draft","Monroe  in  Monroe,        Wisconsin",0,/players/a/anderbo01.html,Monroe,Wisconsin,Monroe ,Forward
5.4,5.0,0.5,53.2,16.7,39.7,Center,Right,,"Iola  in  Iola,        Texas",0,/players/a/anderch01.html,Iola,Texas,Iola ,Center
4.9,2.8,0.6,44.0,11.7,1.5,Center,Right,"Atlanta Hawks, 2nd round (8th pick, 37th overall), 2002 NBA Draft",,0,/players/a/anderda03.html,,,,Center
7.3,2.2,1.1,40.5,10.3,7.4,Shooting Guard,Right,,"DeLaSalle  in  Minneapolis,        Minnesota",0,/players/a/anderal01.html,Minneapolis,Minnesota,DeLaSalle ,Guard
10.7,2.7,1.7,41.0,10.9,3.5,Shooting Guard,Right,"Boston Celtics, 8th round (9th pick, 88th overall), 1967 NBA Draft",,0,/players/a/anderan01.html,,,,Guard
2.0,1.0,0.0,33.3,-1.7,0.0,Small Forward,Right,,"Laurinburg Institute  in  Laurinburg,        North Carolina",0,/players/a/anderan02.html,Laurinburg,North Carolina,Laurinburg Institute ,Forward
3.0,1.3,0.9,35.4,10.6,0.3,Shooting Guard,Right,"Los Angeles Lakers, 4th round (4th pick, 35th overall), 1967 NBA Draft","Thomas Edison  in  Philadelphia,        Pennsylvania",0,/players/a/andercl01.html,Philadelphia,Pennsylvania,Thomas Edison ,Guard
12.2,9.4,1.1,48.1,17.5,10.9,Center,Right,"Philadelphia 76ers, 12th round (3rd pick, 89th overall), 1965 NBA Draft",,0,/players/a/anderda01.html,,,,Center
3.7,1.0,1.7,47.2,12.3,1.6,Shooting Guard,Right,"Portland Trail Blazers, 6th round (2nd pick, 92nd overall), 1974 NBA Draft","North Torrance  in  Torrance,        California",0,/players/a/anderda02.html,Torrance,California,North Torrance ,Guard
12.0,3.2,3.4,40.8,15.3,43.9,Shooting Guard,Right,"Cleveland Cavaliers, 1st round (13th pick, 13th overall), 1997 NBA Draft","Doss  in  Louisville,        Kentucky",0,/players/a/anderde01.html,Louisville,Kentucky,Doss ,Guard
4.2,0.4,0.6,50.0,10.6,0.0,Point Guard,Right,"Washington Bullets, 2nd round (18th pick, 41st overall), 1982 NBA Draft","Roth  in  Dayton,        Ohio",0,/players/a/anderdw01.html,Dayton,Ohio,Roth ,Guard
1.6,1.1,0.2,34.3,13.1,0.2,Power Forward,Right,,"Saint Francis DeSales  in  Chicago,        Illinois",0,/players/a/anderer01.html,Chicago,Illinois,Saint Francis DeSales ,Forward
7.3,6.2,0.6,49.2,13.0,18.7,Power Forward,Right,"San Antonio Spurs, 1st round (23rd pick, 23rd overall), 1987 NBA Draft","Evan E. Worthing  in  Houston,        Texas",0,/players/a/andergr01.html,Houston,Texas,Evan E. Worthing ,Forward
4.8,2.8,0.7,46.5,12.1,2.7,Small Forward,Right,"Philadelphia 76ers, 2nd round (13th pick, 36th overall), 1982 NBA Draft","Metro  in  Chicago,        Illinois",0,/players/a/anderjj01.html,Chicago,Illinois,Metro ,Forward
5.8,2.3,1.2,41.1,9.9,3.3,Shooting Guard,Right,"San Antonio Spurs, 1st round (20th pick, 20th overall), 2010 NBA Draft","Junction City  in  Junction City,        Arkansas",0,/players/a/anderja01.html,Junction City,Arkansas,Junction City ,Guard
2.6,0.5,0.3,49.0,11.4,0.4,Shooting Guard,Right,"Boston Celtics, 3rd round (17th pick, 53rd overall), 1975 NBA Draft","Mullens  in  Mullens,        West Virginia",0,/players/a/anderje01.html,Mullens,West Virginia,Mullens ,Guard
5.3,2.6,0.7,41.9,12.9,4.7,Small Forward,Left,"Dallas Mavericks, 1st round (21st pick, 21st overall), 2015 NBA Draft","Montrose Christian  in  Rockville,        Maryland",0,/players/a/anderju01.html,Rockville,Maryland,Montrose Christian ,Forward
12.6,3.1,6.1,42.1,16.4,62.5,Point Guard,Left,"New Jersey Nets, 1st round (2nd pick, 2nd overall), 1991 NBA Draft","Archbishop Molloy  in  Jamaica,        New York",0,/players/a/anderke01.html,Jamaica,New York,Archbishop Molloy ,Guard
3.0,2.1,0.7,31.2,3.0,-0.4,Small Forward,Right,"Portland Trail Blazers, 2nd round (6th pick, 28th overall), 1977 NBA Draft, and Milwaukee Bucks, 7th round (15th pick, 146th overall), 1978 NBA Draft","Smith-Cotton  in  Sedali,        Missouri",0,/players/a/anderki01.html,Sedali,Missouri,Smith-Cotton ,Forward
5.3,3.9,1.9,49.2,13.5,15.4,Small Forward,Right,"San Antonio Spurs, 1st round (30th pick, 30th overall), 2014 NBA Draft","St. Anthony's  in  Jersey City,        New Jersey",0,/players/a/anderky01.html,Jersey City,New Jersey,St. Anthony's ,Forward
5.7,2.5,4.3,41.7,10.5,0.2,Point Guard,Right,"Indiana Pacers, 3rd round (23rd pick, 73rd overall), 1988 NBA Draft","George Washington Carver High School of Engineering and Science  in  Philadelphia,        Pennsylvania",0,/players/a/andermi01.html,Philadelphia,Pennsylvania,George Washington Carver High School of Engineering and Science ,Guard
14.4,5.1,2.6,44.6,15.8,55.3,Shooting Guard,Right,"Orlando Magic, 1st round (11th pick, 11th overall), 1989 NBA Draft","Simeon Vocational School  in  Chicago,        Illinois",0,/players/a/anderni01.html,Chicago,Illinois,Simeon Vocational School ,Guard
5.6,3.5,1.5,41.2,12.3,7.6,Power Forward,Right,"San Diego Clippers, 2nd round (9th pick, 32nd overall), 1982 NBA Draft","Rancho Alamitos  in  Garden Grove,        California",0,/players/a/anderri01.html,Garden Grove,California,Rancho Alamitos ,Forward
10.6,3.5,1.4,47.1,14.3,24.2,Small Forward,Right,"Cleveland Cavaliers, 2nd round (3rd pick, 27th overall), 1984 NBA Draft","Bowen  in  Chicago,        Illinois",0,/players/a/anderro01.html,Chicago,Illinois,Bowen ,Forward
12.4,5.3,0.9,42.2,16.5,46.7,Power Forward,Right,"New Jersey Nets, 1st round (21st pick, 21st overall), 2008 NBA Draft","Oak Ridge  in  El Dorado Hills,        California",0,/players/a/anderry01.html,El Dorado Hills,California,Oak Ridge ,Forward
7.4,3.1,1.4,45.7,11.7,23.6,Small Forward,Right,"Utah Jazz, 2nd round (25th pick, 54th overall), 1996 NBA Draft","Crim  in  Atlanta,        Georgia",0,/players/a/andersh01.html,Atlanta,Georgia,Crim ,Forward
12.2,3.8,3.8,47.1,13.8,27.9,Small Forward,Right,"San Antonio Spurs, 1st round (10th pick, 10th overall), 1988 NBA Draft","East Atlanta  in  Atlanta,        Georgia",0,/players/a/anderwi01.html,Atlanta,Georgia,East Atlanta ,Forward
3.6,1.9,0.2,39.2,8.8,-0.2,Small Forward,Right,"Detroit Pistons, 6th round (6th pick, 70th overall), 1968 NBA Draft, and Atlanta Hawks, 2nd round (10th pick, 25th overall), 1969 NBA Draft","Creighton Preparatory School  in  Omaha,        Nebraska",0,/players/a/anderwa01.html,Omaha,Nebraska,Creighton Preparatory School ,Forward
0.0,0.7,0.0,0.0,15.5,0.0,Center,Right,"Orlando Magic, 2nd round (14th pick, 44th overall), 2005 NBA Draft",,0,/players/a/andrima01.html,,,,Center
3.0,2.0,0.0,0.0,1.8,-0.1,Small Forward,Right,"New York Knicks, 3rd round (8th pick, 26th overall), 1954 NBA Draft",,0,/players/a/anieldo01.html,,,,Forward
0.9,0.9,0.1,33.3,17.0,0.0,Center,Right,"Indiana Pacers, 2nd round (17th pick, 47th overall), 2017 NBA Draft","Centennial  in  Corono,        California",0,/players/a/anigbik01.html,Corono,California,Centennial ,Center
6.9,4.2,0.4,51.3,17.0,6.4,Small Forward,Right,"Orlando Magic, 2nd round (10th pick, 37th overall), 1989 NBA Draft","Jackson-Olin  in  Birmingham,        Alabama",0,/players/a/anslemi01.html,Birmingham,Alabama,Jackson-Olin ,Forward
5.2,3.4,0.8,41.3,13.2,2.8,Center,Right,"Portland Trail Blazers, 1st round (18th pick, 18th overall), 1997 NBA Draft","Catholic Regional College  in  Melbourne,      Australia  ",0,/players/a/anstech01.html,Melbourne,Australia,Catholic Regional College ,Center
18.8,8.3,4.1,52.1,21.9,53.2,Small Forward,Right,"Milwaukee Bucks, 1st round (15th pick, 15th overall), 2013 NBA Draft",,0,/players/a/antetgi01.html,,,,Forward
1.0,0.5,0.0,0.0,-0.9,-0.1,Power Forward,Right,"Philadelphia 76ers, 2nd round (30th pick, 60th overall), 2018 NBA Draft","Dominican HS  in  Whitefish Bay,        Wisconsin",0,/players/a/antetko01.html,Whitefish Bay,Wisconsin,Dominican HS ,Forward
3.0,0.5,0.0,75.0,32.9,0.0,Small Forward,Right,"New York Knicks, 2nd round (21st pick, 51st overall), 2014 NBA Draft",,0,/players/a/antetth01.html,,,,Forward
24.0,6.5,3.0,44.9,20.3,101.0,Small Forward,Right,"Denver Nuggets, 1st round (3rd pick, 3rd overall), 2003 NBA Draft","Oak Hill Academy  in  Mouth of Wilson,        Virginia",0,/players/a/anthoca01.html,Mouth of Wilson,Virginia,Oak Hill Academy ,Forward
7.3,1.9,4.0,40.3,14.5,35.9,Point Guard,Left,"New York Knicks, 1st round (12th pick, 12th overall), 1991 NBA Draft","Rancho  in  North Las Vegas,        Nevada",0,/players/a/anthogr01.html,North Las Vegas,Nevada,Rancho ,Guard
2.2,2.8,0.2,51.3,9.7,15.3,Center,Left,,"Dawson College  in  Montreal,      Canada  ",0,/players/a/anthojo01.html,Montreal,Canada,Dawson College ,Center
6.3,3.5,0.9,39.2,10.6,3.0,Center,Right,,,0,/players/a/anticpe01.html,,,,Center
